Timestamp,Gender ,"On average, how frequently do you study with friends?","When studying with friends, do you feel it helps you stay focused?","In your opinion, does studying with friends enhance your understanding of the study material","On average, How many hours do you spend studying with friends?"
3/6/2024 22:46,Male,Often,Often,Agree,4
3/6/2024 23:09,Male,Often,Often,Strongly agree.,5
3/6/2024 23:11,Male,Often,Always,Neutral,4
3/6/2024 23:12,Male,Rarely,Rarely,Agree,2
3/6/2024 23:25,Female,Often,Always,Strongly agree.,5
3/6/2024 23:25,Female,Rarely,Always,Strongly agree.,5
3/6/2024 23:25,Female,Often,Rarely,Neutral,4
3/6/2024 23:26,Female,Never,Rarely,Neutral,3
3/6/2024 23:49,Male,Often,Always,Strongly agree.,5
3/6/2024 23:55,Male,Often,Often,Agree,4
3/7/2024 0:17,Male,Rarely,Rarely,Agree,3
3/7/2024 0:43,Male,Rarely,Rarely,Agree,3
3/7/2024 6:03,Female,Often,Often,Agree,4
3/7/2024 12:31,Male,Rarely,Rarely,Disagree,2
3/7/2024 18:46,Male,Often,Rarely,Strongly agree.,3
3/8/2024 0:00,Male,Rarely,Rarely,Strongly disagree,1
3/8/2024 5:30,Male,Rarely,Rarely,Agree,3
3/8/2024 15:06,Male,Often,Rarely,Neutral,1
3/8/2024 15:08,Male,Often,Often,Strongly agree.,3
3/8/2024 15:09,Female,Always,Rarely,Neutral,3
3/8/2024 15:09,Female,Often,Always,Disagree,4
3/8/2024 15:09,Female,Rarely,Often,Disagree,2
3/8/2024 15:09,Female,Often,Always,Neutral,5
3/8/2024 15:10,Female,Often,Rarely,Disagree,3
3/8/2024 15:10,Female,Always,Rarely,Disagree,5
3/8/2024 15:10,Female,Never,Rarely,Strongly disagree,2
3/8/2024 15:10,Female,Never,Often,Neutral,2
3/8/2024 15:11,Female,Often,Rarely,Disagree,2
3/8/2024 15:11,Female,Always,Always,Strongly agree.,4
3/8/2024 15:11,Female,Never,Rarely,Neutral,4
3/8/2024 15:11,Female,Often,Never,Agree,3
3/8/2024 15:23,Male,Always,Never,Strongly agree.,5
3/8/2024 15:38,Male,Never,Never,Disagree,1
3/8/2024 15:44,Female,,,,
3/8/2024 16:58,Male,Rarely,Rarely,Agree,3
3/8/2024 16:58,Male,Rarely,Often,Agree,4
3/8/2024 16:58,Male,Rarely,Rarely,Agree,3
3/8/2024 17:38,Male,Rarely,Never,Disagree,2
3/8/2024 17:45,Male,Rarely,Often,Agree,4
3/8/2024 17:45,Male,Rarely,Never,Disagree,2
3/8/2024 17:46,Male,Rarely,Never,Strongly disagree,1
3/8/2024 17:46,Male,Often,Often,Strongly agree.,3
3/8/2024 17:46,Male,Never,Never,Strongly disagree,1
3/8/2024 17:46,Male,Never,Never,Neutral,3
3/8/2024 17:46,Female,Rarely,Never,Disagree,3
3/8/2024 17:47,Female,Often,Often,Neutral,3
3/8/2024 17:47,Male,Often,Rarely,Strongly agree.,5
3/8/2024 17:47,Male,Rarely,Often,Disagree,3
3/8/2024 17:48,Male,Rarely,Rarely,Agree,4
3/8/2024 17:50,Male,Rarely,Rarely,Neutral,3
3/8/2024 17:51,Male,Often,Often,Agree,4
3/8/2024 17:51,Female,Often,Often,Disagree,4
3/8/2024 18:14,Male,Rarely,Rarely,Disagree,1
3/8/2024 18:14,Male,Rarely,Rarely,Neutral,3
3/8/2024 18:14,Male,Often,Always,Strongly agree.,4
3/8/2024 18:16,Male,Often,Always,Agree,5
3/8/2024 18:16,Male,Rarely,Often,Agree,3
3/8/2024 18:16,,Often,Always,Strongly agree.,5
3/8/2024 18:16,Male,Often,Often,Agree,3
3/8/2024 18:21,Male,Rarely,Often,Agree,4
3/8/2024 18:24,Male,Often,Rarely,Neutral,3
3/8/2024 18:45,Male,Rarely,Often,Strongly agree.,3
3/8/2024 18:45,Male,Rarely,Rarely,Agree,4
3/8/2024 18:50,Male,Rarely,Rarely,Neutral,3
3/8/2024 19:10,Male,Often,Rarely,Agree,4
3/8/2024 19:11,Male,Always,Often,Neutral,5
3/8/2024 19:34,Male,Often,Always,Agree,3
3/8/2024 21:09,Male,Rarely,Always,Strongly agree.,4
3/8/2024 23:05,Male,Rarely,Often,Agree,4
3/8/2024 23:20,Male,Rarely,Never,Neutral,2
3/8/2024 23:23,Male,Never,Never,Neutral,3
3/8/2024 23:29,Female,Never,Never,Strongly disagree,1
3/8/2024 23:36,Female,Rarely,Often,Agree,4
3/8/2024 23:37,Male,Rarely,Rarely,Neutral,2
3/9/2024 0:15,Female,Rarely,Rarely,Disagree,2
